,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
0,0,[[4825954]],[[32944128]],[4955339.092396207],[11630820.885109944],[11567751.262409728],[32603785.48654735],[83698812.5644941],[1290563288.335715],[4170421957.2821517],[5460879052.94625],[0.42605239486923496],[0.06485448123387304],[0.35479779693626984],[0.7636905920910533]
1,1,[[2376830]],[[33001472]],[6202700.978416848],[10552457.652147403],[10488959.67859379],[23098270.149949487],[57257788.772184245],[1158788216.958886],[3727641397.954266],[5435190603.93783],[0.5877968131106038],[0.049411780284106706],[0.45410152407524457],[0.6858345308540912]
2,2,[[1525990]],[[32970752]],[6933572.556092121],[9985855.467629837],[9914797.078024661],[19365497.072081093],[48638299.31882379],[1097114852.0808122],[3525192176.7928677],[5456382358.147347],[0.6943393661732837],[0.044332914850779136],[0.5119825760795294],[0.6460676590102103]
3,3,[[1105982]],[[32925696]],[7091291.382372614],[9547357.649570886],[9472775.216999134],[17740055.48156587],[44593552.058387205],[1058832202.8433973],[3403167585.6996794],[5505534172.16837],[0.7427491084605318],[0.04211578750498454],[0.5339766398612749],[0.6181357665353173]
4,4,[[869753]],[[32952320]],[6983995.468326008],[9325703.617114248],[9256168.170354918],[16241381.151436785],[41550670.06845056],[1044996224.0869653],[3358400844.8580937],[5511536030.889853],[0.7488974296276361],[0.03976155043503075],[0.5699126252902498],[0.60934026849061]
5,5,[[706006]],[[32968704]],[6849631.701410379],[9104454.621739618],[9031552.031758213],[15731748.24029233],[39761798.63844085],[1031892130.9837571],[3317761571.1598434],[5498758899.5629],[0.7523384964822415],[0.038532902271997974],[0.5740971628713522],[0.6033655287966116]
6,6,[[5738342]],[[32964608]],[6906253.119025819],[13632585.83640222],[13556446.221811634],[35376786.527774915],[86278751.49302591],[1377691373.0601027],[4440621669.02962],[5451773028.708865],[0.5065989095468956],[0.06262560191647651],[0.3832017419436397],[0.8145279793647766]
7,7,[[2960482]],[[32972800]],[7825447.392207117],[12625467.97459391],[12560163.510666702],[27181207.303193465],[63684225.706588686],[1269359791.3485913],[4064234685.25717],[5450927681.632965],[0.6198144423600123],[0.050170350550437226],[0.4620899789536219],[0.7456042205351043]
8,8,[[1945194]],[[33026048]],[8530505.106449297],[11969259.87005517],[11896057.132378684],[23266328.17393932],[54754889.31817867],[1200194371.8305748],[3835227991.278247],[5474365341.998294],[0.7127011359984764],[0.045621684789826804],[0.5112992924127792],[0.7005794739081632]
9,9,[[1386806]],[[32925696]],[8565936.651963202],[11520778.1975313],[11451478.88201653],[20854319.575810898],[49071058.26526284],[1163941688.7372053],[3717292823.08724],[5486876645.644653],[0.74352066371686],[0.042159378549711954],[0.549117838171963],[0.6774879522830052]
10,10,[[1086058]],[[32952320]],[8719637.866030877],[11235227.239774993],[11160922.3419338],[19420436.429911155],[46575437.65765048],[1142067387.5596225],[3649522877.7554464],[5500371989.450349],[0.7760980423396853],[0.040781689561395496],[0.5746998725911155],[0.6635047383622762]
11,11,[[890526]],[[32913408]],[8553873.757520707],[10905816.227069618],[10836118.8544743],[18991038.33547136],[44673663.24284363],[1116799862.759902],[3568861007.5416574],[5469998591.416742],[0.7843405371428237],[0.040001494209037085],[0.5705911737450741],[0.6524427653677538]
12,12,[[6115917]],[[33015808]],[8324282.906840531],[15564453.680721588],[15485310.210138805],[38719495.93004202],[87630911.3510251],[1437292579.8845246],[4627271258.771043],[5476864238.675696],[0.5348265398580059],[0.06096943140001848],[0.39993573878434524],[0.8448760197659957]
13,13,[[3239530]],[[32137216]],[10156228.393663133],[15025868.574914902],[14955180.02914248],[30292064.131429356],[65057059.062947094],[1310190312.7766533],[4187190293.1966],[5412268458.654757],[0.675916226940688],[0.04965466347028113],[0.493699602782295],[0.7736479306566668]
14,14,[[2187370]],[[32931840]],[10864795.198766755],[14710132.557405597],[14637287.508356363],[26406598.77188942],[56604341.53158917],[1283082766.2538903],[4088190082.6619816],[5473414026.165289],[0.7385926099827724],[0.04411589261451321],[0.5543041583961269],[0.746917748797855]
15,15,[[1624934]],[[32927744]],[11135662.348037858],[14290651.916338027],[14214947.837837845],[24644786.576030124],[52437427.86037743],[1251159493.2098951],[3981374985.7669854],[5472521801.888397],[0.7792270368930353],[0.04191106581131979],[0.5767933024692333],[0.7275210825826471]
