# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5624711382
#
# Overhead  Command       Shared Object                Symbol                                     
# ........  ............  ...........................  ...........................................
#
    24.55%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
    22.22%  rte-worker-2  nflr                         [.] write_variable
    19.26%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
    13.78%  rte-worker-2  nflr                         [.] read_variable
     2.75%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     1.62%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     1.10%  rte-worker-2  nflr                         [.] HandleNAS
     0.93%  rte-worker-2  nflr                         [.] handlerInitialUEMessage
     0.93%  rte-worker-2  nflr                         [.] DeRegistered
     0.89%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     0.65%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.56%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.51%  rte-worker-2  nflr                         [.] NewAmfUe
     0.51%  rte-worker-2  nflr                         [.] Authentication
     0.50%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.42%  rte-worker-2  nflr                         [.] AuthenticationProcedure
     0.42%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.36%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.35%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.35%  rte-worker-2  nflr                         [.] handleInitialUEMessageMain
     0.32%  rte-worker-2  nflr                         [.] SendDownlinkNasTransport
     0.32%  rte-worker-2  nflr                         [.] UpdateLocation
     0.30%  rte-worker-2  nflr                         [.] InTaiList
     0.27%  rte-worker-2  nflr                         [.] AttachRanUeToAmfUeAndReleaseOldIfAny
     0.27%  rte-worker-2  nflr                         [.] HandleRegistrationRequest
     0.27%  rte-worker-2  nflr                         [.] SecurityContextIsValid
     0.26%  rte-worker-2  nflr                         [.] Decode
     0.24%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.23%  rte-worker-2  nflr                         [.] SetOnGoing
     0.23%  rte-worker-2  nflr                         [.] AttachRanUe
     0.21%  rte-worker-2  nflr                         [.] SendAuthenticationRequest
     0.21%  rte-worker-2  nflr                         [.] send_packet
     0.20%  rte-worker-2  nflr                         [.] NewRanUe
     0.18%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
     0.18%  rte-worker-2  nflr                         [.] BuildDownlinkNasTransport
     0.18%  rte-worker-2  nflr                         [.] RanUeFindByRanUeNgapID
     0.18%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.17%  rte-worker-2  nflr                         [.] SendToRan
     0.17%  rte-worker-2  nflr                         [.] PlmnIdStringToModels
     0.17%  rte-worker-2  nflr                         [.] SendToRanUe
     0.16%  rte-worker-2  nflr                         [.] AllocateGutiToUe
     0.15%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.15%  rte-worker-2  nflr                         [.] StopT3513
     0.15%  rte-worker-2  nflr                         [.] SendUEAuthenticationAuthenticateRequest
     0.15%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.15%  rte-worker-2  nflr                         [.] init
