# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627428270
#
# Overhead  Command       Shared Object                Symbol                                 
# ........  ............  ...........................  .......................................
#
    36.34%  rte-worker-2  nflr                         [.] read_variable
    23.63%  rte-worker-2  nflr                         [.] write_variable
     9.43%  rte-worker-2  nflr                         [.] worker_fsm_amac_thread
     7.68%  rte-worker-2  libc-2.31.so                 [.] __memset_avx2_unaligned_erms
     6.32%  rte-worker-2  libc-2.31.so                 [.] __memcmp_avx2_movbe
     5.65%  rte-worker-2  nflr                         [.] cuckoo_hash_first_test
     1.88%  rte-worker-2  nflr                         [.] cuckoo_hash_first_hash
     0.97%  rte-worker-2  nflr                         [.] handleUplinkNASTransportMain
     0.84%  rte-worker-2  nflr                         [.] HandleNAS
     0.75%  rte-worker-2  nflr                         [.] 0x00000000000048d4
     0.51%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_decompress_v
     0.48%  rte-worker-2  nflr                         [.] send_packet
     0.48%  rte-worker-2  nflr                         [.] 0x00000000000048d0
     0.36%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_handle_completion
     0.33%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_tx_burst_none_empw
     0.30%  rte-worker-2  librte_net_mlx5.so.23.0      [.] mlx5_rx_burst_vec
     0.28%  rte-worker-2  nflr                         [.] Decode
     0.24%  rte-worker-2  libc-2.31.so                 [.] __memset_chk_avx2_unaligned_erms
     0.24%  rte-worker-2  libc-2.31.so                 [.] 0x000000000018bb5d
     0.22%  rte-worker-2  nflr                         [.] cuckoo_hash_get_key
     0.19%  rte-worker-2  [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.19%  rte-worker-2  nflr                         [.] Registered
     0.19%  rte-worker-2  nflr                         [.] UpdateLocation
     0.15%  rte-worker-2  nflr                         [.] ContextSetup
     0.15%  rte-worker-2  librte_net_mlx5.so.23.0      [.] rxq_cq_process_v
     0.15%  rte-worker-2  nflr                         [.] Stop
     0.13%  rte-worker-2  nflr                         [.] StopT3550
     0.10%  rte-worker-2  nflr                         [.] ClearRegistrationRequestData
     0.10%  rte-worker-2  nflr                         [.] Dispatch
     0.10%  rte-worker-2  nflr                         [.] GetBearerType
     0.09%  rte-worker-2  nflr                         [.] dispatchMain
     0.09%  rte-worker-2  nflr                         [.] HandleRegistrationComplete
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] error_entry
     0.07%  rte-worker-2  [kernel.kallsyms]            [k] perf_event_task_tick
     0.07%  rte-worker-2  nflr                         [.] ranUeFind
     0.06%  rte-worker-2  nflr                         [.] RanUeFindByAmfUeNgapID
     0.06%  rte-worker-2  [kernel.kallsyms]            [k] scheduler_tick
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] rcu_sched_clock_irq
     0.04%  rte-worker-2  [kernel.kallsyms]            [k] timekeeping_advance
